problem_size,total_time,write_time,tree_construction_time,acceleration_calc_time,integration_time
128,26,0,0,0,0,26
256,9,0,0,0,0,9
384,10,0,0,0,0,10
512,10,0,0,0,0,10
640,11,0,0,0,0,11
768,11,0,0,0,0,11
896,11,0,0,0,0,11
1024,10,0,0,0,0,10
1152,12,0,0,0,0,12
1280,11,0,0,0,0,11
1408,13,0,0,0,0,13
1536,11,0,0,0,0,11
1664,39,0,0,0,0,39
1792,13,0,0,0,0,13
1920,13,0,0,0,0,13
2048,14,0,0,0,0,14
2176,14,0,0,0,0,14
2304,14,0,0,0,0,14
2432,15,0,0,0,0,15
2560,15,0,0,0,0,15
2688,17,0,0,0,0,17
2816,27,0,0,0,0,27
2944,18,0,0,0,0,18
3072,17,0,0,0,0,17
3200,18,0,0,0,0,18
3328,18,0,0,0,0,18
3456,20,0,0,0,0,20
3584,19,0,0,0,0,19
3712,21,1,0,0,0,21
3840,21,0,0,0,0,21
3968,22,0,0,0,0,22
4096,22,0,0,0,0,22
4224,22,0,0,0,0,22
4352,22,0,0,0,0,22
4480,23,0,0,0,0,23
4608,23,0,0,0,0,23
4736,25,0,0,0,0,25
4864,24,0,0,0,0,24
4992,25,0,0,0,0,25
5120,26,0,0,0,0,26
5248,26,0,0,0,0,26
5376,26,0,0,0,0,26
5504,24,0,0,0,0,24
5632,26,0,0,0,0,26
5760,41,0,1,0,0,41
5888,28,0,1,0,0,28
6016,29,0,1,0,0,29
6144,31,0,1,0,0,31
6272,27,0,1,0,0,27
6400,40,0,1,0,0,40
6528,33,0,1,0,0,33
6656,34,0,1,0,0,34
6784,31,0,1,0,0,31
6912,33,0,1,0,0,33
7040,35,0,4,0,0,35
7168,31,0,1,0,0,31
7296,35,0,4,0,0,35
7424,35,0,5,0,0,35
7552,36,0,9,0,0,36
7680,35,0,9,0,0,35
7808,46,0,10,0,0,46
7936,38,0,10,0,0,38
8064,38,0,10,0,0,38
8192,35,0,10,0,0,35
8320,37,0,10,0,0,37
8448,39,0,10,0,0,39
8576,40,0,10,0,0,40
8704,39,0,10,0,0,39
8832,41,0,10,0,0,41
8960,43,0,10,0,0,43
9088,41,1,10,0,0,41
9216,43,0,10,0,0,43
9344,43,0,10,0,0,43
9472,40,0,10,0,0,40
9600,42,0,10,0,0,42
9728,43,0,10,0,0,43
9856,44,0,10,0,0,44
9984,44,0,10,0,0,44
10112,44,0,10,0,0,44
10240,45,0,10,0,0,45
10368,44,0,10,0,0,44
10496,45,0,10,0,0,45
10624,47,0,10,0,0,47
10752,46,0,10,0,0,46
10880,47,0,10,0,0,47
11008,45,0,10,0,0,45
11136,47,0,10,0,0,47
11264,49,0,10,0,0,49
11392,46,0,10,0,0,46
11520,49,0,10,0,0,49
11648,52,0,10,0,0,52
11776,49,0,10,0,0,49
11904,60,0,10,0,0,60
12032,51,0,10,0,0,51
12160,49,0,10,0,0,49
12288,54,0,10,0,0,54
12416,54,0,10,0,0,54
12544,52,0,10,0,0,52
12672,56,1,10,0,0,56
12800,51,0,10,0,0,51
12928,104,0,21,0,0,104
13056,61,0,11,0,0,61
13184,57,0,11,0,0,57
13312,58,0,11,0,0,58
13440,58,0,12,0,0,58
13568,59,0,11,0,0,59
13696,56,0,11,0,0,56
13824,59,0,11,0,0,59
13952,56,0,11,0,0,56
14080,60,0,11,0,0,60
14208,59,1,11,0,0,59
14336,62,0,11,0,0,62
14464,60,0,11,0,0,60
14592,61,0,11,0,0,61
14720,59,0,11,0,0,59
14848,62,0,11,0,0,62
14976,58,0,11,0,0,58
15104,63,0,11,0,0,63
15232,67,0,11,0,0,67
15360,62,0,11,0,0,62
15488,64,0,11,0,0,64
15616,67,0,11,0,0,67
15744,63,1,11,0,0,63
15872,67,0,11,0,0,67
16000,67,0,11,0,0,67
16128,66,0,11,0,0,66
16256,66,0,11,0,0,66
16384,68,0,11,0,0,68
16512,66,0,11,0,0,66
16640,78,0,11,0,0,78
16768,70,0,14,0,0,70
16896,72,0,18,0,0,72
17024,70,0,18,0,0,70
17152,73,0,19,0,0,73
17280,74,5,19,0,0,74
17408,77,0,18,0,0,77
17536,74,0,19,0,0,74
17664,73,0,19,0,0,73
17792,77,0,20,0,0,77
17920,75,0,20,0,0,75
18048,77,0,20,0,0,77
18176,73,0,20,0,0,73
18304,80,0,20,0,0,80
18432,77,0,20,0,0,77
18560,87,2,20,0,0,87
18688,73,0,20,0,0,73
18816,77,0,20,0,0,77
18944,78,0,20,0,0,78
19072,79,0,21,0,0,79
19200,80,0,21,0,0,80
19328,82,0,21,0,0,82
19456,82,0,21,0,0,82
19584,80,2,21,0,0,80
19712,83,0,21,0,0,83
19840,85,0,21,0,0,85
19968,85,1,21,0,0,85
20096,84,0,21,0,0,84
20224,82,0,21,0,0,82
20352,84,0,21,0,0,84
20480,84,0,21,0,0,84
20608,90,0,21,0,0,90
20736,85,1,21,0,0,85
20864,90,0,21,0,0,90
20992,88,1,21,0,0,88
21120,94,0,21,0,0,94
21248,86,0,21,0,0,86
21376,92,0,21,0,0,92
21504,90,0,21,0,0,90
21632,94,1,21,0,0,94
21760,93,0,21,0,0,93
21888,92,0,21,0,0,92
22016,93,0,21,0,0,93
22144,89,2,21,0,0,89
22272,95,0,21,0,0,95
22400,95,0,21,0,0,95
22528,96,0,21,0,0,96
22656,93,0,21,0,0,93
22784,97,0,21,0,0,97
22912,94,0,21,0,0,94
23040,95,0,21,0,0,95
23168,99,0,21,0,0,99
23296,97,0,21,0,0,97
23424,96,0,21,0,0,96
23552,99,0,21,0,0,99
23680,96,0,21,0,0,96
23808,104,3,21,0,0,104
23936,100,0,22,0,0,100
24064,99,0,22,0,0,99
24192,102,0,23,0,0,102
24320,103,0,26,0,0,103
24448,102,2,28,0,0,102
24576,104,0,28,0,0,104
24704,101,0,28,0,0,101
24832,114,1,23,0,0,114
24960,104,0,28,0,0,104
25088,110,0,28,0,0,110
25216,104,0,28,0,0,104
25344,106,0,28,0,0,106
25472,108,0,30,0,0,108
25600,108,0,30,0,0,108
25728,105,0,30,0,0,105
25856,111,0,30,0,0,111
25984,107,0,30,0,0,107
26112,106,3,30,0,0,106
26240,106,0,30,0,0,106
26368,113,5,30,0,0,113
26496,108,0,31,0,0,108
26624,117,0,31,0,0,117
26752,110,0,31,0,0,110
26880,109,0,31,0,0,109
27008,115,0,31,0,0,115
27136,114,0,31,0,0,114
27264,118,3,31,0,0,118
27392,116,0,31,0,0,116
27520,116,0,31,0,0,116
27648,117,0,31,0,0,117
27776,116,0,31,0,0,116
27904,117,0,31,0,0,117
28032,122,0,31,0,0,122
28160,121,3,31,0,0,121
28288,123,6,31,0,0,123
28416,119,1,31,0,0,119
28544,122,0,31,0,0,122
28672,121,0,31,0,0,121
28800,121,0,31,0,0,121
28928,123,0,31,0,0,123
29056,121,0,31,0,0,121
29184,123,0,31,0,0,123
29312,123,0,31,0,0,123
29440,126,0,31,0,0,126
29568,129,6,31,0,0,129
29696,126,2,31,0,0,126
29824,124,0,31,0,0,124
29952,125,0,31,0,0,125
30080,129,1,31,0,0,129
30208,130,0,31,0,0,130
30336,131,0,31,0,0,131
30464,128,3,31,0,0,128
30592,130,0,31,0,0,130
30720,129,0,31,0,0,129
30848,125,2,31,0,0,125
30976,128,0,31,0,0,128
31104,131,0,31,0,0,131
31232,131,1,31,0,0,131
