total_energy, kinetic_energy, potential_energy
-34076.9,0,-34076.9
-34085.9,7.32573,-34093.2
-34096.5,29.3676,-34125.9
-34108.9,66.2382,-34175.1
-34123.4,117.792,-34241.2
-34140.1,184.435,-34324.5
-34159.1,266.456,-34425.5
-34180.4,364.667,-34545.1
-34204.5,479.538,-34684.1
-34232.5,610.931,-34843.5
-34265.1,759.276,-35024.4
-34303.7,924.586,-35228.2
-34348.1,1108.58,-35456.7
-34399.8,1312.02,-35711.8
-34459.6,1536.58,-35996.2
-34530.5,1782.41,-36313
-34614.9,2050.98,-36665.9
-34716.9,2343.02,-37059.9
-34841.6,2659.45,-37501.1
-34994.7,3002.5,-37997.2
-35184.1,3374.08,-38558.2
-35415.5,3777.61,-39193.1
-35685.6,4213.99,-39899.6
-35967.7,4684.19,-40651.9
-36271.7,5193.88,-41465.5
-36630.1,5739.04,-42369.1
-37007.3,6328.42,-43335.7
-37293.5,6960.52,-44254.1
-37458.2,7633.02,-45091.2
-37640.4,8341.12,-45981.5
-37781.8,9103.44,-46885.3
-37906.5,9935.6,-47842.1
-38025.2,10839.5,-48864.7
-38260.1,11794.6,-50054.7
-38564.5,12813.8,-51378.3
-38796.1,13878.7,-52674.8
-38943.1,14985.1,-53928.1
-39259,16143,-55402
-39573.6,17316.3,-56889.9
-39761.8,18502.6,-58264.4
-39873,19659.8,-59532.9
-39796.8,20796.4,-60593.3
-39687.2,21921.5,-61608.7
-39632.4,23040.9,-62673.4
-39596.5,24165,-63761.4
-39603.9,25375.6,-64979.6
-39691,26641.2,-66332.2
-39663.7,28019.6,-67683.3
-39597,29505,-69102
-39608.4,31134.1,-70742.5
-39872.3,32974,-72846.2
-40207.7,35097.1,-75304.8
-40608.8,37467,-78075.9
-41155.4,40101.2,-81256.7
-41973.2,43023.8,-84997
-43125.4,46300.8,-89426.2
-44142.4,49785.3,-93927.6
-45391.2,53445.3,-98836.5
-46223.6,57391.3,-103615
-46956.3,61638.8,-108595
-47920.6,66262,-114183
-49094.3,71476.9,-120571
-50096.6,76872,-126969
-50464,81666.4,-132130
-49955.7,85205.1,-135161
-49911.9,87610.7,-137523
-49199.7,88529.7,-137729
-48370.3,87898.1,-136268
-46124.6,85636,-131761
-43505.5,82001.4,-125507
-42070.2,77404.1,-119474
-41107,72605,-113712
-39713.7,67763.3,-107477
-38700.3,63004.2,-101704
-38037.2,58573.3,-96610.5
-37741.2,54598.5,-92339.6
-37684.2,51057.1,-88741.3
-37416.8,47930.2,-85347
-37126.2,45074.2,-82200.4
-36907.3,42444.8,-79352.1
-36642.6,40088.7,-76731.3
-36457.2,37942.8,-74400.1
-36236.4,35980.3,-72216.7
-36016.3,34157.3,-70173.6
-35736.2,32470.4,-68206.6
-35595.9,30928.4,-66524.3
-35532.6,29553.6,-65086.2
-35613.7,28297.9,-63911.6
-35649.4,27237.1,-62886.5
-35515.8,26294.7,-61810.5
-35380.4,25440,-60820.5
-35226.1,24628.6,-59854.7
-35140.8,23840.2,-58981
-34959.3,23096.3,-58055.6
-34842.2,22397.9,-57240.1
-34774,21741.5,-56515.5
-34612.8,21135.1,-55747.8
-34530.1,20539.2,-55069.3
-34355.3,19978.6,-54333.9
-34170.1,19450.5,-53620.6
-34046.4,18977.3,-53023.7
-33982.5,18539.6,-52522.1
-33963.6,18156.6,-52120.2
-34008,17828.5,-51836.5
-34053,17557.6,-51610.6
-34040.8,17333.2,-51374
-34091.8,17134.4,-51226.2
-34146.9,16982,-51128.9
-34232.8,16904.2,-51137
-34296.2,16855.3,-51151.5
-34318.8,16850.3,-51169.1
-34329.2,16877.5,-51206.7
-34376.5,16924.5,-51301
-34479.6,17008.1,-51487.7
-34524.9,17130.8,-51655.6
-34525.1,17278.6,-51803.7
-34508.2,17492,-52000.3
-34611.6,17775.9,-52387.5
-34735.5,18159.6,-52895.1
-34910.8,18649.4,-53560.3
-35238.8,19221.7,-54460.4
-35516,19908,-55423.9
-35936.4,20647.3,-56583.7
-36322.7,21435,-57757.8
-36641.3,22255.3,-58896.6
-36997,23098.9,-60095.9
-37550.8,23940,-61490.8
-37665.8,24691.1,-62356.9
-37614.9,25291,-62905.9
-37417.7,25710.8,-63128.6
-37423.1,25973.8,-63396.8
-37274.3,26153.2,-63427.5
-37144.4,26300.8,-63445.3
-37187.7,26400.1,-63587.7
-37095.2,26454.9,-63550.1
-36715,26429.6,-63144.6
-36330.6,26331.5,-62662
-36289.8,26157.7,-62447.5
-36325,25948.6,-62273.6
-36311,25760.4,-62071.4
-36344.9,25581.4,-61926.3
-36174.8,25391.2,-61566
-36113.1,25101.8,-61214.9
-36026.7,24763.1,-60789.8
-35876.9,24368.1,-60245
-35656.1,23925.1,-59581.2
-35497.9,23474.3,-58972.3
-35279.1,23003.6,-58282.7
-34989,22580.6,-57569.7
-34927.6,22178.6,-57106.2
-34907,21816.6,-56723.6
-34703.9,21480.1,-56184
-34546.8,21135.3,-55682.1
-34444,20804.1,-55248.1
-34405,20508.9,-54914
-34368.1,20252.1,-54620.2
-34184.5,19984.3,-54168.8
-34051.1,19723.9,-53775
-33982.1,19506.9,-53489
-34024,19299.1,-53323.1
-33948.8,19145.2,-53094
-33929,19020.7,-52949.6
-33945.4,18915.6,-52861
-33989.6,18853.5,-52843.1
-34003,18844.2,-52847.2
-34204.5,18897.6,-53102.1
-34254.2,19017.4,-53271.6
-34347.1,19189.9,-53537
-34473.2,19353.7,-53827
-34457.6,19515,-53972.6
-34428.8,19628.5,-54057.3
-34491.2,19691.7,-54182.9
-34575.4,19704.6,-54279.9
-34526.7,19665.2,-54192
-34688.7,19616.8,-54305.5
-34719.9,19532.4,-54252.3
-34497.7,19402.6,-53900.3
-34289.8,19210.9,-53500.8
-34056,18967.6,-53023.6
-33895.1,18687,-52582.2
-33828,18417.6,-52245.6
-33688.8,18140,-51828.8
-33664.3,17879.6,-51544
-33598.6,17653.8,-51252.4
